label,PC1,PC2
ARI_Monti Ossenfort,17.19405083004194,1.6575464786220335
ARI_Rod Graves,3.363208884449297,10.856364683403813
ARI_Steve Keim,-3.7553612581456557,-2.851499165351604
ATL_Terry Fontenot,-35.9732951294337,-4.459600260117509
ATL_Thomas Dimitroff,10.641084107439937,0.5075729971072732
BAL_Eric DeCosta,-28.763788425743517,-9.222311979899867
BAL_Ozzie Newsome,11.982528904473904,8.398408819985377
BUF_Brandon Beane,-2.770963438324592,-5.673759922103102
CAR_Marty Hurney,9.781901989234164,3.5300388838253345
CAR_Scott Fitterer,-38.1989636049169,-17.528665599124032
CHI_Jerry Angelo,8.007840461149495,-6.1689087705751895
CHI_Ryan Poles,0.531849634276769,-0.20735345024470514
CIN_Mike Brown,0.7567912702118261,1.6335382074843317
DAL_Jerry Jones,1.6768181173204442,0.20799397191564026
DEN_George Paton,-31.158624211949302,-21.17877442197995
DEN_John Elway,-4.8773646375488475,0.18705008122203892
DET_Brad Holmes,-13.371377586663039,-16.031730126982502
GB_Brian Gutekunst,-0.11105575416777237,2.044359364867
GB_Ted Thompson,16.906345340144803,6.490496018096245
HOU_Nick Caserio,-27.272942069528526,-12.276848172214722
HOU_Rick Smith,14.757598503751503,6.964356483460107
IND_Chris Ballard,10.891673718303178,-1.1473994292135568
JAX_David Caldwell,2.740276496717457,-5.908526780819757
JAX_Trent Baalke,-13.891584520946083,-5.18032253769126
KC_Brett Veach,1.1708057089496862,-2.7794554613366724
LAC_AJ Smith,-4.045430241414976,5.149572627803876
LAC_Joe Hortiz,15.23552115157031,-11.830432834382046
LAC_Tom Telesco,-5.129621619370422,-0.7516693252692649
LA_Les Snead,3.006168185175752,-1.9269853051549501
LV_Tom Telesco,15.54790831129614,2.2057630253003992
MIA_Chris Grier,2.8784587585788373,0.757373462541172
MIN_Kwesi Adofo-Mensah,-7.170202198907444,-22.017786835192886
MIN_Rick Spielman,5.847010127871852,2.420281189906521
NE_Bill Belichick,-4.3404571009951205,3.2152291576050964
NO_Mickey Loomis,0.7294946650241535,2.5854035148654644
NYG_Jerry Reese,15.85677710484839,5.9521021781839405
NYG_Joe Schoen,-0.9388128591126689,-8.686376199208059
NYJ_Joe Douglas,-28.847844989141144,-10.051188305549159
PHI_Andy Reid,-0.768209431170588,2.290711694351595
PHI_Howie Roseman,-4.978237108762174,-4.887327831386657
PIT_Kevin Colbert,2.375772286075501,3.0936568329265337
PIT_Omar Khan,8.324386418185455,5.7551397428971125
SEA_John Schneider/Pete Carroll,6.080981049141543,5.949508226063597
SF_John Lynch,-7.897525656219515,-13.673832052402455
SF_Trent Baalke,-1.0018537238898064,3.3738782842963806
TB_Jason Licht,-14.002466538504315,-8.087788297313798
TEN_Ran Carthon,8.383705620519299,15.743957686115053
WAS_Adam Peters,14.031257583035426,-14.087153830518929
